country,year,age_group,fpr
alb,2000,65,8.266932
alb,2000,total_15,50.894009999999994
alb,2001,15_19,41.16003
alb,2001,20_24,52.933569999999996
alb,2001,25_29,63.93434
alb,2001,30_34,64.873
alb,2001,35_39,69.38334
alb,2001,40_44,71.4653
alb,2001,45_49,66.14806
alb,2001,50_54,57.79127
alb,2001,55_59,29.050009999999997
alb,2001,60_64,22.211570000000002
alb,2001,65,8.000202999999999
alb,2001,total_15,50.49949
alb,2002,15_19,40.7
alb,2002,20_24,52.599990000000005
alb,2002,25_29,63.9
alb,2002,30_34,64.8
alb,2002,35_39,69.3
alb,2002,40_44,71.4
alb,2002,45_49,66.1
alb,2002,50_54,57.9
alb,2002,55_59,29.3
alb,2002,60_64,22.3
alb,2002,65,7.9
alb,2002,total_15,50.28182
alb,2003,15_19,40.21667
alb,2003,20_24,52.344440000000006
alb,2003,25_29,63.96111
alb,2003,30_34,64.83889
alb,2003,35_39,69.33889
alb,2003,40_44,71.40556
alb,2003,45_49,66.20555
alb,2003,50_54,58.12778
alb,2003,55_59,29.95
alb,2003,60_64,22.56111
alb,2003,65,7.961111
alb,2003,total_15,50.184
alb,2004,15_19,39.73333
alb,2004,20_24,52.088879999999996
alb,2004,25_29,64.02221999999999
alb,2004,30_34,64.87778
alb,2004,35_39,69.37778
alb,2004,40_44,71.41111
alb,2004,45_49,66.31111
alb,2004,50_54,58.35555
alb,2004,55_59,30.6
alb,2004,60_64,22.82222
alb,2004,65,8.022222
alb,2004,total_15,50.08631
alb,2005,15_19,39.25
alb,2005,20_24,51.83333
alb,2005,25_29,64.08334
alb,2005,30_34,64.91667
alb,2005,35_39,69.41667
alb,2005,40_44,71.41667
alb,2005,45_49,66.41666
alb,2005,50_54,58.583330000000004
alb,2005,55_59,31.25
alb,2005,60_64,23.08333
alb,2005,65,8.083333
alb,2005,total_15,49.98431
alb,2006,15_19,38.76667
alb,2006,20_24,51.57777
alb,2006,25_29,64.14445
alb,2006,30_34,64.95555999999999
alb,2006,35_39,69.45555999999999
alb,2006,40_44,71.42223
alb,2006,45_49,66.52221999999999
alb,2006,50_54,58.81111
alb,2006,55_59,31.9
alb,2006,60_64,23.34444
alb,2006,65,8.144444
alb,2006,total_15,49.88332
alb,2007,15_19,38.28333
alb,2007,20_24,51.32222
alb,2007,25_29,64.20555999999999
alb,2007,30_34,64.99445
alb,2007,35_39,69.49445
alb,2007,40_44,71.42778
alb,2007,45_49,66.62778
alb,2007,50_54,59.03889
alb,2007,55_59,32.55
alb,2007,60_64,23.60555
alb,2007,65,8.205555
alb,2007,total_15,49.8076
alb,2008,15_19,37.8
alb,2008,20_24,51.06666
alb,2008,25_29,64.26666999999999
alb,2008,30_34,65.03333
alb,2008,35_39,69.53333
alb,2008,40_44,71.43333
alb,2008,45_49,66.73333000000001
alb,2008,50_54,59.26667
alb,2008,55_59,33.2
alb,2008,60_64,23.866670000000003
alb,2008,65,8.266666
alb,2008,total_15,49.75723
alb,2009,15_19,37.31667
alb,2009,20_24,50.81111
alb,2009,25_29,64.32778
alb,2009,30_34,65.07223
alb,2009,35_39,69.57223
alb,2009,40_44,71.43889
alb,2009,45_49,66.83889
alb,2009,50_54,59.494440000000004
alb,2009,55_59,33.85
alb,2009,60_64,24.127779999999998
alb,2009,65,8.327778
alb,2009,total_15,49.71835
alb,2010,15_19,36.83333
alb,2010,20_24,50.55555
alb,2010,25_29,64.38889
alb,2010,30_34,65.11111
alb,2010,35_39,69.61111
alb,2010,40_44,71.44444
alb,2010,45_49,66.94444
alb,2010,50_54,59.72221999999999
alb,2010,55_59,34.5
alb,2010,60_64,24.38889
alb,2010,65,8.388888
alb,2010,total_15,49.67483
alb,2011,15_19,36.35
alb,2011,20_24,50.3
alb,2011,25_29,64.45
alb,2011,30_34,65.15
alb,2011,35_39,69.65
alb,2011,40_44,71.45
alb,2011,45_49,67.05
alb,2011,50_54,59.95
alb,2011,55_59,35.15
alb,2011,60_64,24.65
alb,2011,65,8.45
alb,2011,total_15,49.58471
alb,2012,15_19,35.86667
alb,2012,20_24,50.04444
alb,2012,25_29,64.51111
alb,2012,30_34,65.18889
alb,2012,35_39,69.68889
alb,2012,40_44,71.45555999999999
alb,2012,45_49,67.15556
alb,2012,50_54,60.177780000000006
alb,2012,55_59,35.8
alb,2012,60_64,24.91111
alb,2012,65,8.511111
alb,2012,total_15,49.46969
alb,2013,15_19,35.383340000000004
alb,2013,20_24,49.78889
alb,2013,25_29,64.57222
alb,2013,30_34,65.22778000000001
alb,2013,35_39,69.72778000000001
alb,2013,40_44,71.46110999999999
alb,2013,45_49,67.26111
alb,2013,50_54,60.405559999999994
alb,2013,55_59,36.45
alb,2013,60_64,25.172220000000003
alb,2013,65,8.572222
alb,2013,total_15,49.33521
alb,2014,15_19,34.9
alb,2014,20_24,49.53333
alb,2014,25_29,64.63333
alb,2014,30_34,65.26666999999999
alb,2014,35_39,69.76666999999999
alb,2014,40_44,71.46667
alb,2014,45_49,67.36667
alb,2014,50_54,60.63333000000001
alb,2014,55_59,37.1
alb,2014,60_64,25.433329999999998
alb,2014,65,8.633333
alb,2014,total_15,49.19285
alb,2015,15_19,34.41667
alb,2015,20_24,49.277770000000004
alb,2015,25_29,64.69444
alb,2015,30_34,65.30556
alb,2015,35_39,69.80556
alb,2015,40_44,71.47222
alb,2015,45_49,67.47222
alb,2015,50_54,60.86111
alb,2015,55_59,37.75
alb,2015,60_64,25.69444
alb,2015,65,8.694445
alb,2015,total_15,49.05058
alb,2016,15_19,33.93333
alb,2016,20_24,49.022220000000004
alb,2016,25_29,64.75555
alb,2016,30_34,65.34444
alb,2016,35_39,69.84444
alb,2016,40_44,71.47778000000001
alb,2016,45_49,67.57777
alb,2016,50_54,61.08889
alb,2016,55_59,38.4
alb,2016,60_64,25.95555
alb,2016,65,8.755555000000001
alb,2016,total_15,48.94793
alb,2017,15_19,33.45
alb,2017,20_24,48.76667
alb,2017,25_29,64.81667
alb,2017,30_34,65.38333
alb,2017,35_39,69.88333
alb,2017,40_44,71.48334
alb,2017,45_49,67.68333
alb,2017,50_54,61.316669999999995
alb,2017,55_59,39.05
alb,2017,60_64,26.21667
alb,2017,65,8.816667
alb,2017,total_15,48.835440000000006
alb,2018,15_19,32.96667
alb,2018,20_24,48.511109999999995
alb,2018,25_29,64.87778
alb,2018,30_34,65.42223
alb,2018,35_39,69.92223
alb,2018,40_44,71.48889
alb,2018,45_49,67.78889000000001
alb,2018,50_54,61.54445
alb,2018,55_59,39.7
alb,2018,60_64,26.47778
alb,2018,65,8.877778
alb,2018,total_15,48.71268
alb,2019,15_19,32.48333
alb,2019,20_24,48.25555
alb,2019,25_29,64.93889
alb,2019,30_34,65.46110999999999
alb,2019,35_39,69.96110999999999
alb,2019,40_44,71.49445
alb,2019,45_49,67.89445
alb,2019,50_54,61.77222
alb,2019,55_59,40.35
alb,2019,60_64,26.73889
alb,2019,65,8.938889
alb,2019,total_15,48.57938
alb,2020,15_19,32.0
alb,2020,20_24,48.0
alb,2020,25_29,65.0
alb,2020,30_34,65.5
alb,2020,35_39,70.0
alb,2020,40_44,71.5
alb,2020,45_49,68.0
alb,2020,50_54,62.0
alb,2020,55_59,41.0
alb,2020,60_64,27.0
alb,2020,65,9.0
alb,2020,total_15,48.4345
dza,1985,15_19,3.2
dza,1985,20_24,14.2
dza,1985,25_29,14.8
dza,1985,30_34,10.1
dza,1985,35_39,8.400001
dza,1985,40_44,8.400001
dza,1985,45_49,7.799999000000001
dza,1985,50_54,7.6
dza,1985,55_59,7.6
dza,1985,60_64,3.8
dza,1985,65,2.4
dza,1986,15_19,3.5732120000000003
dza,1986,20_24,14.73298
dza,1986,25_29,15.12473
dza,1986,30_34,10.179039999999999
dza,1986,35_39,8.208288
dza,1986,40_44,8.558639999999999
dza,1986,45_49,7.844289999999999
dza,1986,50_54,7.815761999999999
dza,1986,55_59,7.6
dza,1986,60_64,3.79664
dza,1986,65,2.130141
dza,1987,15_19,3.9881580000000003
dza,1987,20_24,15.28239
dza,1987,25_29,15.4553
dza,1987,30_34,10.25863
dza,1987,35_39,8.020567
dza,1987,40_44,8.719992
dza,1987,45_49,7.8888110000000005
dza,1987,50_54,8.037116000000001
dza,1987,55_59,7.6
dza,1987,60_64,3.7932839999999994
dza,1987,65,1.890038
dza,1988,15_19,4.449066
dza,1988,20_24,15.84849
dza,1988,25_29,15.79175
dza,1988,30_34,10.33876
dza,1988,35_39,7.836773
dza,1988,40_44,8.884089
dza,1988,45_49,7.933561999999999
dza,1988,50_54,8.264177
dza,1988,55_59,7.6
dza,1988,60_64,3.7899300000000005
dza,1988,65,1.6765349999999999
dza,1989,15_19,4.960489
dza,1989,20_24,16.43149
dza,1989,25_29,16.134120000000003
dza,1989,30_34,10.41945
dza,1989,35_39,7.656841
dza,1989,40_44,9.050967
dza,1989,45_49,7.9785449999999996
dza,1989,50_54,8.497061
dza,1989,55_59,7.6
dza,1989,60_64,3.786579
dza,1989,65,1.486784
dza,1990,15_19,5.5273
dza,1990,20_24,17.031589999999998
dza,1990,25_29,16.48246
dza,1990,30_34,10.5007
dza,1990,35_39,7.480703999999999
dza,1990,40_44,9.220664
dza,1990,45_49,8.023762
dza,1990,50_54,8.735882
dza,1990,55_59,7.6
dza,1990,60_64,3.783231
dza,1990,65,1.318222
dza,1990,total_15,9.883245
dza,1991,15_19,6.154684
dza,1991,20_24,17.648979999999998
dza,1991,25_29,16.83681
dza,1991,30_34,10.5825
dza,1991,35_39,7.308298
dza,1991,40_44,9.393213000000001
dza,1991,45_49,8.069211
dza,1991,50_54,8.980757
dza,1991,55_59,7.6
dza,1991,60_64,3.779886
dza,1991,65,1.168543
dza,1991,total_15,10.16537
dza,1992,15_19,6.8481179999999995
dza,1992,20_24,18.28383
dza,1992,25_29,17.19722
dza,1992,30_34,10.66487
dza,1992,35_39,7.139558999999999
dza,1992,40_44,9.568651
dza,1992,45_49,8.114896
dza,1992,50_54,9.231800999999999
dza,1992,55_59,7.6
dza,1992,60_64,3.7765440000000003
dza,1992,65,1.0356809999999999
dza,1992,total_15,10.458639999999999
dza,1993,15_19,7.613341
dza,1993,20_24,18.93625
dza,1993,25_29,17.56371
dza,1993,30_34,10.7478
