country,year,age_group,mlf0
aus,2010,60_64,378.274100
aus,2010,65,211.554600
aus,2010,total_15,6468.953000
aus,2011,15_19,425.982100
aus,2011,20_24,706.194900
aus,2011,25_29,768.124200
aus,2011,30_34,702.871800
aus,2011,35_39,744.049600
aus,2011,40_44,705.986300
aus,2011,45_49,707.430900
aus,2011,50_54,652.875400
aus,2011,55_59,529.895500
aus,2011,60_64,385.393000
aus,2011,65,219.683400
aus,2011,total_15,6548.487000
aus,2012,15_19,426.453700
aus,2012,20_24,706.392600
aus,2012,25_29,783.315200
aus,2012,30_34,722.518700
aus,2012,35_39,735.723000
aus,2012,40_44,722.223600
aus,2012,45_49,703.290800
aus,2012,50_54,665.913100
aus,2012,55_59,539.481000
aus,2012,60_64,387.335700
aus,2012,65,228.518600
aus,2012,total_15,6621.166000
aus,2013,15_19,426.365800
aus,2013,20_24,704.657800
aus,2013,25_29,795.532700
aus,2013,30_34,746.925800
aus,2013,35_39,723.665400
aus,2013,40_44,740.978800
aus,2013,45_49,697.214900
aus,2013,50_54,677.701600
aus,2013,55_59,551.002400
aus,2013,60_64,386.373600
aus,2013,65,237.734200
aus,2013,total_15,6688.153000
aus,2014,15_19,425.335100
aus,2014,20_24,702.526000
aus,2014,25_29,805.059900
aus,2014,30_34,770.821900
aus,2014,35_39,715.944800
aus,2014,40_44,755.523100
aus,2014,45_49,694.371400
aus,2014,50_54,686.399000
aus,2014,55_59,562.928900
aus,2014,60_64,386.140700
aus,2014,65,246.838800
aus,2014,total_15,6751.890000
aus,2015,15_19,423.433100
aus,2015,20_24,700.629400
aus,2015,25_29,812.176500
aus,2015,30_34,791.186800
aus,2015,35_39,717.525200
aus,2015,40_44,762.000100
aus,2015,45_49,697.851600
aus,2015,50_54,691.185100
aus,2015,55_59,574.362100
aus,2015,60_64,388.869900
aus,2015,65,255.558100
aus,2015,total_15,6814.778000
aus,2016,15_19,422.900400
aus,2016,20_24,696.953700
aus,2016,25_29,814.639800
aus,2016,30_34,809.681800
aus,2016,35_39,727.878700
aus,2016,40_44,761.186900
aus,2016,45_49,706.736900
aus,2016,50_54,691.990400
aus,2016,55_59,585.810600
aus,2016,60_64,393.820800
aus,2016,65,264.105300
aus,2016,total_15,6875.705000
aus,2017,15_19,422.035200
aus,2017,20_24,693.997900
aus,2017,25_29,813.473000
aus,2017,30_34,825.050200
aus,2017,35_39,746.634800
aus,2017,40_44,752.342700
aus,2017,45_49,722.370500
aus,2017,50_54,688.000900
aus,2017,55_59,597.576700
aus,2017,60_64,401.053600
aus,2017,65,272.272500
aus,2017,total_15,6934.808000
aus,2018,15_19,421.311200
aus,2018,20_24,691.805200
aus,2018,25_29,809.928400
aus,2018,30_34,836.891100
aus,2018,35_39,770.594100
aus,2018,40_44,740.294100
aus,2018,45_49,740.724800
aus,2018,50_54,682.318100
aus,2018,55_59,608.438100
aus,2018,60_64,409.891000
aus,2018,65,280.274400
aus,2018,total_15,6992.470000
aus,2019,15_19,421.811400
aus,2019,20_24,689.884400
aus,2019,25_29,805.760800
aus,2019,30_34,845.325900
aus,2019,35_39,794.399500
aus,2019,40_44,732.890100
aus,2019,45_49,755.178600
aus,2019,50_54,679.859900
aus,2019,55_59,616.633700
aus,2019,60_64,419.175500
aus,2019,65,288.418800
aus,2019,total_15,7049.339000
aus,2020,15_19,424.265400
aus,2020,20_24,687.640000
aus,2020,25_29,802.100000
aus,2020,30_34,850.686500
aus,2020,35_39,814.506800
aus,2020,40_44,734.800800
aus,2020,45_49,761.834600
aus,2020,50_54,683.496900
aus,2020,55_59,621.245900
aus,2020,60_64,428.134800
aus,2020,65,296.864600
aus,2020,total_15,7105.576000
