country,year,age_group,flf0
arg,2012,total_15,7560.196000
arg,2013,15_19,250.852400
arg,2013,20_24,808.947400
arg,2013,25_29,1031.529000
arg,2013,30_34,1085.597000
arg,2013,35_39,1026.779000
arg,2013,40_44,848.319200
arg,2013,45_49,764.708200
arg,2013,50_54,685.636800
arg,2013,55_59,572.326400
arg,2013,60_64,324.374200
arg,2013,65,248.378000
arg,2013,total_15,7647.447000
arg,2014,15_19,249.639800
arg,2014,20_24,811.730800
arg,2014,25_29,1040.917000
arg,2014,30_34,1073.142000
arg,2014,35_39,1059.552000
arg,2014,40_44,872.347400
arg,2014,45_49,772.507800
arg,2014,50_54,690.280000
arg,2014,55_59,577.623700
arg,2014,60_64,331.085500
arg,2014,65,253.496900
arg,2014,total_15,7732.323000
arg,2015,15_19,248.116300
arg,2015,20_24,812.887000
arg,2015,25_29,1048.447000
arg,2015,30_34,1067.025000
arg,2015,35_39,1079.234000
arg,2015,40_44,901.367700
arg,2015,45_49,783.365100
arg,2015,50_54,694.596100
arg,2015,55_59,582.616400
arg,2015,60_64,337.120900
arg,2015,65,258.874700
arg,2015,total_15,7813.650000
arg,2016,15_19,246.454400
arg,2016,20_24,813.271900
arg,2016,25_29,1056.070000
arg,2016,30_34,1067.136000
arg,2016,35_39,1087.345000
arg,2016,40_44,935.577900
arg,2016,45_49,797.099100
arg,2016,50_54,698.753500
arg,2016,55_59,586.949500
arg,2016,60_64,341.782200
arg,2016,65,264.260200
arg,2016,total_15,7894.700000
arg,2017,15_19,244.411800
arg,2017,20_24,812.004400
arg,2017,25_29,1062.838000
arg,2017,30_34,1072.761000
arg,2017,35_39,1082.103000
arg,2017,40_44,975.470500
arg,2017,45_49,812.928200
arg,2017,50_54,702.930900
arg,2017,55_59,591.297900
arg,2017,60_64,345.862900
arg,2017,65,269.924000
arg,2017,total_15,7972.533000
arg,2018,15_19,242.367900
arg,2018,20_24,809.233700
arg,2018,25_29,1068.306000
arg,2018,30_34,1082.187000
arg,2018,35_39,1068.860000
arg,2018,40_44,1015.680000
arg,2018,45_49,831.839700
arg,2018,50_54,707.997700
arg,2018,55_59,595.591900
arg,2018,60_64,349.491100
arg,2018,65,275.832400
arg,2018,total_15,8047.387000
arg,2019,15_19,240.885600
arg,2019,20_24,805.273300
arg,2019,25_29,1072.078000
arg,2019,30_34,1092.114000
arg,2019,35_39,1056.552000
arg,2019,40_44,1048.069000
arg,2019,45_49,855.390700
arg,2019,50_54,715.254600
arg,2019,55_59,599.737100
arg,2019,60_64,352.925000
arg,2019,65,281.921700
arg,2019,total_15,8120.200000
arg,2020,15_19,240.287600
arg,2020,20_24,800.432300
arg,2020,25_29,1073.884000
arg,2020,30_34,1100.377000
arg,2020,35_39,1050.787000
arg,2020,40_44,1067.755000
arg,2020,45_49,884.080000
arg,2020,50_54,725.538100
arg,2020,55_59,603.771500
arg,2020,60_64,356.317000
arg,2020,65,288.134500
arg,2020,total_15,8191.364000
arm,2010,15_19,38.595240
arm,2010,20_24,57.340400
arm,2010,25_29,75.621330
arm,2010,30_34,63.998860
arm,2010,35_39,63.306550
arm,2010,40_44,66.230520
arm,2010,45_49,89.782430
arm,2010,50_54,87.476100
arm,2010,55_59,63.011870
arm,2010,60_64,24.726220
arm,2010,65,38.150120
arm,2010,total_15,668.239600
arm,2011,15_19,35.947910
arm,2011,20_24,56.408890
arm,2011,25_29,77.813900
arm,2011,30_34,66.661670
arm,2011,35_39,65.105460
arm,2011,40_44,63.249250
arm,2011,45_49,85.747340
arm,2011,50_54,89.150940
arm,2011,55_59,67.296990
arm,2011,60_64,27.317680
arm,2011,65,37.942090
arm,2011,total_15,672.642100
arm,2012,15_19,33.046040
arm,2012,20_24,54.764740
arm,2012,25_29,79.884940
arm,2012,30_34,69.131220
arm,2012,35_39,67.617650
arm,2012,40_44,61.592140
arm,2012,45_49,80.309140
arm,2012,50_54,90.106270
arm,2012,55_59,71.351960
arm,2012,60_64,30.014880
arm,2012,65,37.896720
arm,2012,total_15,675.715700
arm,2013,15_19,30.207500
arm,2013,20_24,52.507370
arm,2013,25_29,81.514860
arm,2013,30_34,71.424220
arm,2013,35_39,70.619960
arm,2013,40_44,61.112380
arm,2013,45_49,74.232250
arm,2013,50_54,90.109610
arm,2013,55_59,75.012850
arm,2013,60_64,32.766960
arm,2013,65,38.035530
arm,2013,total_15,677.543500
arm,2014,15_19,27.892100
arm,2014,20_24,49.816720
arm,2014,25_29,82.268500
arm,2014,30_34,73.656490
arm,2014,35_39,73.820790
arm,2014,40_44,61.485300
arm,2014,45_49,68.697050
arm,2014,50_54,88.860330
arm,2014,55_59,78.093640
arm,2014,60_64,35.557490
arm,2014,65,38.386660
arm,2014,total_15,678.535100
arm,2015,15_19,26.374980
arm,2015,20_24,46.851910
arm,2015,25_29,81.890330
arm,2015,30_34,75.856480
arm,2015,35_39,77.005860
arm,2015,40_44,62.477910
arm,2015,45_49,64.467270
arm,2015,50_54,86.240860
arm,2015,55_59,80.444270
arm,2015,60_64,38.346010
arm,2015,65,38.963940
arm,2015,total_15,678.919800
arm,2016,15_19,25.562350
arm,2016,20_24,43.608870
arm,2016,25_29,80.582170
arm,2016,30_34,78.101580
arm,2016,35_39,80.242270
arm,2016,40_44,64.258400
arm,2016,45_49,61.530610
arm,2016,50_54,82.306640
arm,2016,55_59,81.943690
arm,2016,60_64,40.953890
arm,2016,65,39.751570
arm,2016,total_15,678.842000
arm,2017,15_19,25.572210
arm,2017,20_24,40.037530
arm,2017,25_29,78.228980
arm,2017,30_34,80.236950
arm,2017,35_39,83.265120
arm,2017,40_44,66.772320
arm,2017,45_49,59.908230
arm,2017,50_54,77.051660
arm,2017,55_59,82.816970
arm,2017,60_64,43.443210
arm,2017,65,40.738620
arm,2017,total_15,678.071800
arm,2018,15_19,26.184670
arm,2018,20_24,36.531840
arm,2018,25_29,74.971860
arm,2018,30_34,81.945140
arm,2018,35_39,86.108620
arm,2018,40_44,69.803920
arm,2018,45_49,59.456700
arm,2018,50_54,71.215460
arm,2018,55_59,82.864270
arm,2018,60_64,45.710640
arm,2018,65,41.949120
arm,2018,total_15,676.742200
arm,2019,15_19,27.005970
arm,2019,20_24,33.654580
arm,2019,25_29,71.050070
arm,2019,30_34,82.751610
arm,2019,35_39,88.886410
arm,2019,40_44,73.042310
